Active Inventory (Detail) - Scheduler Report,,,,,,,,,,,,,,,,,,,,,
Ezer auto,,,,,,,,,,,,,,,,,,,,,
3224 N 30th St Omaha NE 68111,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Run By: SYSTEM,,,,,,,,,,,,,,,,,,,,,
Run Date: 11/02/2025 11:04 PM GMT-08:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Vehicle Info,,,,,,,,,,,,,Price,,Cost,,,,Valuation,,Price Proof Points
2012 NISSAN MURANO SL SPORT UTILITY 4D,,,,,,Date In Stock,10/25/2025 (9 Days),,Color,,Location,OMAHA,Retail Price,"$5,000.00",Total Cost,"$3,200.00",,,,,No price proof points available.
Vin,JN8AZ1MW1CW214631,Status,IN INVENTORY,Sale Type,BOTH,Stock #,214631,,Odometer,"156,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$1,725.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$4,500.00",Vehicle Cost,"$3,200.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,"$5,000.00",Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1992 MAZDA MX-5 MIATA CONVERTIBLE 2D,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,BLUE,Location,ROATAN,Retail Price,"$10,000.00",Total Cost,"$6,528.33",,,,,No price proof points available.
Vin,JM1NA3510N0306029,Status,IN INVENTORY,Sale Type,BOTH,Stock #,21,,Odometer,"120,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$6,528.33",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$10,000.00",Vehicle Cost,"$3,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,"$3,028.33",Addt'l Cost,$0.00,,,
Title Status,RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2012 JEEP GRAND CHEROKEE LIMITED SPORT UTILITY 4D,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,,Location,ROATAN,Retail Price,"$20,000.00",Total Cost,"$3,500.00",,,,,No price proof points available.
Vin,,Status,IN INVENTORY,Sale Type,BOTH,Stock #,19,,Odometer,"90,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,$0.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$20,000.00",Vehicle Cost,"$3,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1974 MERCEDES-BENZ 240 SERIES 240D SEDAN ,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,,Location,OMAHA,Retail Price,"$9,000.00",Total Cost,"$6,500.00",,,,,No price proof points available.
Vin,,Status,IN INVENTORY,Sale Type,BOTH,Stock #,20,,Odometer,"60,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,"$6,500.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$9,000.00",Vehicle Cost,"$6,500.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1960 CHEVROLET BEL AIR 4D HARDTOP ,,,,,,Date In Stock,10/01/2025 (33 Days),,Color,,Location,OMAHA,Retail Price,"$14,000.00",Total Cost,"$7,000.00",,,,,No price proof points available.
Vin,,Status,IN INVENTORY,Sale Type,BOTH,Stock #,18,,Odometer,"69,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,"$7,000.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$14,000.00",Vehicle Cost,"$7,000.00",Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2005 HONDA CR-V EX SPORT UTILITY 4D,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,OMAHA,Retail Price,"$4,200.00",Total Cost,"$2,000.00",,,,,No price proof points available.
Vin,JHLRD78855C024172,Status,IN INVENTORY,Sale Type,BOTH,Stock #,16,,Odometer,"142,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"$2,000.00",,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,"$4,200.00",Vehicle Cost,"$2,000.00",Write Down,$0.00,,,
Purchase From,FACEBOOK,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
1988 HONDA PRELUDE SI 2D COUPE 4WS,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,OMAHA,Retail Price,$0.00,Total Cost,$0.00,,,,,No price proof points available.
Vin,JHMBA4240JC061926,Status,IN INVENTORY,Sale Type,BOTH,Stock #,14,,Odometer,"130,000",Posted Online,No,"0% of Market Price, MDS 0",,Water,$0.00,,,,,
Purchase Type,,Custom Status,,Ignition Code,,Sirius XM,No,No AutoCheck available,,,,,Asking Price,$0.00,Vehicle Cost,$0.00,Write Down,$0.00,,,
Purchase From,,Inspection Status,,Valet Key Code,,Min Down,$0.00,,,,,,Advertising Price,$0.00,Cost Adds,$0.00,Addt'l Cost,$0.00,,,
Title Status,NOT RECEIVED,Emission Status,,Door Key Code,,Min Deposit,$0.00,,,,,,Special Price,$0.00,Packs,$0.00,,,,,
,,,,,,,,,,,,,,,,,,,,,
2014 TOYOTA PRIUS V FIVE WAGON 4D,,,,,,Date In Stock,09/30/2025 (34 Days),,Color,,Location,OMAHA,Retail Price,"$7,990.00",Total Cost,"$3,500.00",,,,,No price proof points available.
Vin,JTDZN3EU1E3362771,Status,IN INVENTORY,Sale Type,BOTH,Stock #,13,,Odometer,"192,000",Posted Online,Yes,"0% of Market Price, MDS 0",,Water,"-$5,650.00",,,,,
